X,Y
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
11,40
11,41
11,42
11,43
11,57
11,58
11,59
11,60
12,37
12,38
12,39
12,61
12,62
12,63
13,34
13,35
13,36
13,64
13,65
13,66
14,32
14,33
14,67
14,68
15,30
15,31
15,69
15,70
16,29
16,71
17,27
17,28
17,72
17,73
18,26
18,74
19,25
19,75
20,23
20,24
20,76
20,77
21,22
21,78
22,21
22,28
22,29
22,30
22,31
22,32
22,68
22,69
22,70
22,71
22,72
22,79
23,20
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,66
23,67
23,68
23,69
23,70
23,71
23,72
23,73
23,74
23,80
24,20
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,65
24,66
24,67
24,68
24,69
24,70
24,71
24,72
24,73
24,74
24,75
24,80
25,19
25,24
25,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,72
25,73
25,74
25,75
25,76
25,81
26,18
26,23
26,24
26,25
26,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,63
26,64
26,65
26,66
26,67
26,68
26,69
26,70
26,71
26,72
26,73
26,74
26,75
26,76
26,77
26,82
27,17
27,23
27,24
27,25
27,26
27,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,74
27,75
27,76
27,77
27,83
28,17
28,22
28,23
28,24
28,25
28,26
28,27
28,28
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,37
28,38
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
28,76
28,77
28,78
28,83
29,16
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,29
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,62
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,76
29,77
29,78
29,84
30,15
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
30,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,62
30,63
30,64
30,65
30,66
30,67
30,68
30,69
30,70
30,71
30,72
30,73
30,74
30,75
30,76
30,77
30,78
30,85
31,15
31,22
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,30
31,31
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,62
31,63
31,64
31,65
31,66
31,67
31,68
31,69
31,70
31,71
31,72
31,73
31,74
31,75
31,76
31,77
31,78
31,85
32,14
32,22
32,23
32,24
32,25
32,26
32,27
32,28
32,29
32,30
32,31
32,32
32,33
32,34
32,35
32,36
32,37
32,38
32,62
32,63
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,72
32,73
32,74
32,75
32,76
32,77
32,78
32,86
33,14
33,23
33,24
33,25
33,26
33,27
33,28
33,29
33,30
33,31
33,32
33,33
33,34
33,35
33,36
33,37
33,63
33,64
33,65
33,66
33,67
33,68
33,69
33,70
33,71
33,72
33,73
33,74
33,75
33,76
33,77
33,86
34,13
34,23
34,24
34,25
34,26
34,27
34,28
34,29
34,30
34,31
34,32
34,33
34,34
34,35
34,36
34,37
34,63
34,64
34,65
34,66
34,67
34,68
34,69
34,70
34,71
34,72
34,73
34,74
34,75
34,76
34,77
34,87
35,13
35,24
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,64
35,65
35,66
35,67
35,68
35,69
35,70
35,71
35,72
35,73
35,74
35,75
35,76
35,87
36,13
36,25
36,26
36,27
36,28
36,29
36,30
36,31
36,32
36,33
36,34
36,35
36,65
36,66
36,67
36,68
36,69
36,70
36,71
36,72
36,73
36,74
36,75
36,87
37,12
37,26
37,27
37,28
37,29
37,30
37,31
37,32
37,33
37,34
37,66
37,67
37,68
37,69
37,70
37,71
37,72
37,73
37,74
37,88
38,12
38,28
38,29
38,30
38,31
38,32
38,68
38,69
38,70
38,71
38,72
38,88
39,12
39,88
40,11
40,89
41,11
41,89
42,11
42,89
43,11
43,89
44,10
44,90
45,10
45,90
46,10
46,90
47,10
47,90
48,10
48,90
49,10
49,90
50,10
50,90
51,10
51,90
52,10
52,90
53,10
53,90
54,10
54,90
55,10
55,90
56,10
56,90
57,11
57,89
58,11
58,89
59,11
59,89
60,11
60,89
61,12
61,88
62,12
62,88
63,12
63,88
64,13
64,87
65,13
65,87
66,13
66,87
67,14
67,86
68,14
68,86
69,15
69,85
70,15
70,30
70,70
70,85
71,16
71,30
71,70
71,84
72,17
72,30
72,70
72,83
73,17
73,31
73,69
73,83
74,18
74,32
74,68
74,82
75,19
75,33
75,67
75,81
76,20
76,34
76,66
